Date, Open, High, Low, Close
4/15/2003,3010.96,3018.66,2948.67,2997.38
4/11/2003,3030.46,3048.07,2962.97,2997.87
4/10/2003,3137.24,3137.24,3021.74,3035.33
4/9/2003,3160.74,3164.6,3126.83,3141.25
4/8/2003,3205.92,3209.42,3172.68,3174.86
4/7/2003,3181.94,3221.9,3180.87,3215.24
4/4/2003,3145,3169.2,3130.8,3167.7
4/3/2003,3130.84,3155.12,3119.8,3151.16
4/2/2003,3083.94,3120.31,3079.62,3116.99
4/1/2003,3037.54,3089.6,3037.54,3080.95
3/31/2003,3106.93,3106.93,3039.83,3048.72
3/28/2003,3115.37,3130.33,3099,3115.44
3/27/2003,3138.89,3146.29,3115.06,3116.79
3/26/2003,3148.07,3165.38,3139.65,3143.58
3/25/2003,3122.7,3143.02,3102.65,3140.42
3/24/2003,3216.07,3216.07,3137.56,3140.36
3/21/2003,3195.66,3209.46,3179.79,3200.15
3/20/2003,3118.8,3197.66,3118.32,3192.93
3/19/2003,3103.87,3128.83,3103.87,3121.18
3/17/2003,3115.14,3115.14,3049.05,3084.91
3/13/2003,3113.35,3127.3,3086.43,3108.24
3/12/2003,3151.6,3158.98,3106.85,3110.08
3/11/2003,3117.49,3159.48,3100.14,3154.91
3/10/2003,3152.9,3162.27,3115.32,3125.88
3/7/2003,3182.16,3182.16,3142.89,3153.06
3/6/2003,3252.28,3252.28,3186.43,3190.35
3/5/2003,3233.43,3235.85,3190.06,3226.1
3/4/2003,3271.06,3272.19,3240.16,3244.8
3/3/2003,3301.67,3311.57,3274.64,3277.27
2/28/2003,3294.6,3316.74,3269.8,3283.66
2/27/2003,3254.84,3283.29,3251.4,3277.34
2/26/2003,3291.07,3292.69,3259,3260.48
2/25/2003,3316.91,3316.91,3279,3281.92
2/24/2003,3318.25,3341.61,3318.25,3322.17
2/21/2003,3303.33,3313.6,3294.68,3307.2
2/20/2003,3301.81,3307.87,3284.58,3303.22
2/19/2003,3303.09,3317.8,3300.85,3302.04
2/18/2003,3284.04,3301.92,3284.04,3289.09
2/17/2003,3248.9,3287.01,3248.9,3282.45
2/14/2003,3250.65,3254.04,3218.37,3223.41
2/12/2003,3266.26,3268.39,3236.33,3247.51
2/11/2003,3269.85,3278.79,3249.63,3261.47
2/10/2003,3281.37,3281.42,3252.49,3256.86
2/7/2003,3309.46,3309.96,3277.33,3279.77
2/6/2003,3253.14,3311.18,3253.14,3305.44
2/5/2003,3268.61,3277.09,3239.02,3256.08
2/4/2003,3283.59,3295.25,3271.75,3278.13
2/3/2003,3260.04,3283.48,3250.52,3279.83
1/31/2003,3216.16,3257.48,3199.18,3250.38
1/30/2003,3246.54,3256.48,3217.37,3219.88
1/29/2003,3273.78,3275.92,3225.74,3238.02
1/28/2003,3247.09,3269.13,3209.51,3267.84
1/27/2003,3283.93,3286.46,3221.69,3247.71
1/24/2003,3332.02,3340.68,3281.93,3287.86
1/23/2003,3351.75,3360.37,3324.49,3328.18
1/22/2003,3364.11,3367.23,3345.62,3357.04
1/21/2003,3348.32,3356.82,3336.95,3354.14
1/20/2003,3364.53,3368.08,3338.09,3341.89
1/17/2003,3377.94,3382.53,3366.24,3370.39
1/16/2003,3358.47,3377.27,3352.55,3373.52
1/15/2003,3333.2,3359.98,3333.2,3357.69
1/14/2003,3334.94,3341.55,3321.49,3335.35
1/13/2003,3355.07,3356.93,3324.25,3327.16
1/10/2003,3416.92,3416.92,3342.12,3358.99
1/9/2003,3367.34,3388.19,3366.28,3384.2
1/8/2003,3339.89,3362.12,3338.94,3357.87
1/7/2003,3350.18,3352.43,3320.42,3330.5
1/6/2003,3364.72,3364.72,3330.02,3334.89
1/3/2003,3380.44,3386.97,3351.89,3357.54
1/2/2003,3399.72,3407.24,3363.11,3365.06
1/1/2003,3383.85,3396.8,3381.07,3390.12
12/31/2002,3376.48,3398.11,3374.73,3377.28
12/30/2002,3389.12,3389.12,3359.76,3374.97
12/27/2002,3393.58,3413.83,3393.58,3398
12/26/2002,3360.86,3399.37,3360.41,3382.64
12/24/2002,3328.66,3359.39,3318.02,3352.77
12/23/2002,3346.56,3351.01,3321.07,3329.61
12/20/2002,3339.46,3356,3329.1,3337.22
12/19/2002,3332.72,3345.67,3313.45,3333.86
12/18/2002,3321.12,3348.57,3319.25,3333.31
12/17/2002,3338.88,3347.92,3301.78,3311.06
12/16/2002,3360.2,3371.16,3324.4,3328.39
12/13/2002,3335.28,3349.49,3329.21,3342.97
12/12/2002,3316.84,3331.27,3299.48,3324.48
12/11/2002,3298.94,3324.23,3287.28,3303.27
12/10/2002,3256.63,3294.69,3241.4,3289.68
12/9/2002,3320.87,3349.36,3264.76,3269.31
12/6/2002,3235.68,3309.8,3235.68,3306.29
12/5/2002,3186.62,3250.25,3186.62,3229.73
12/4/2002,3243.86,3243.86,3188.78,3207.36
12/3/2002,3276.7,3292.87,3223.03,3230.14
12/2/2002,3247.6,3277.37,3238.89,3270.36
11/29/2002,3224.98,3245.98,3195.6,3228.82
11/28/2002,3192.12,3229.75,3192.12,3220.75
11/27/2002,3193.13,3206.63,3158,3174.11
11/26/2002,3190.67,3210.68,3181.25,3187.76
11/25/2002,3146.93,3183.29,3140.31,3175.56
11/22/2002,3121.17,3162.66,3121.17,3141.61
11/21/2002,3089.51,3110.38,3089.51,3101.36
11/20/2002,3075.48,3075.48,3075.48,3075.48
11/18/2002,3046.9,3071.28,3041.34,3057.16
11/15/2002,2997.47,3037.61,2997.47,3033.91
11/14/2002,2963.82,2991.61,2963.82,2986.56
11/13/2002,2972.35,2977.67,2957.19,2960.66
11/12/2002,2941.54,2963.83,2935.97,2961.24
11/11/2002,2954.99,2959.12,2942.46,2948.04
11/8/2002,2965.19,2966.59,2950.71,2956.84
11/7/2002,2983.74,2993.61,2958.32,2975.26
11/5/2002,2993.58,2993.58,2967.19,2982.39
11/4/2002,2986.54,2994.8,2974.93,2987.58
11/1/2002,2956.94,2962.32,2928.63,2950.58
10/31/2002,2904.91,2955.49,2900.87,2949.32
10/30/2002,2898.02,2908.21,2884.21,2888.59
10/29/2002,2846.8,2891.03,2846.8,2885.23
10/28/2002,2876.32,2876.32,2828.48,2834.41
10/25/2002,2903.96,2906.84,2855.9,2875.53
10/24/2002,2944.28,2958.01,2906.2,2908.05
